country_region,confirmed_to_date,deaths_to_date
Afghanistan,16,0
Albania,42,1
Algeria,48,4
Andorra,1,0
Antigua and Barbuda,1,0
Argentina,45,2
Armenia,26,0
Australia,297,3
Austria,860,1
Azerbaijan,23,1
Bahrain,214,0
Bangladesh,5,0
Belarus,27,0
Belgium,886,4
Bhutan,1,0
Bolivia,10,0
Bosnia and Herzegovina,24,0
Brazil,162,0
Brunei,50,0
Bulgaria,51,2
Burkina Faso,3,0
Cambodia,7,0
Cameroon,2,0
Canada,250,1
Cayman Islands,1,0
Central African Republic,1,0
Chile,74,0
China,81003,3203
Colombia,34,0
Congo (Brazzaville),1,0
Congo (Kinshasa),2,0
Costa Rica,27,0
Cote d'Ivoire,1,0
Croatia,49,0
Cruise Ship,696,7
Cuba,4,0
Curacao,1,0
Czechia,253,0
Denmark,875,2
Dominican Republic,11,0
Ecuador,28,2
Egypt,110,2
Equatorial Guinea,1,0
Estonia,171,0
Eswatini,1,0
Ethiopia,1,0
Finland,244,0
France,4513,91
Gabon,1,0
Georgia,33,0
Germany,5795,11
Ghana,6,0
Greece,331,4
Guadeloupe,3,0
Guatemala,1,0
Guernsey,1,0
Guyana,4,1
Holy See,1,0
Honduras,3,0
Hungary,32,1
Iceland,171,5
India,113,2
Indonesia,117,5
Iran,13938,724
Iraq,116,10
Ireland,129,2
Israel,251,0
Italy,24747,1809
Jamaica,10,0
Japan,839,22
Jersey,2,0
Jordan,8,0
Kazakhstan,9,0
"Korea, South",8162,75
Kosovo,2,0
Kuwait,112,0
Latvia,30,0
Lebanon,110,3
Liechtenstein,4,0
Lithuania,12,0
Luxembourg,59,1
Malaysia,428,0
Maldives,13,0
Malta,21,0
Martinique,9,0
Mauritania,1,0
Mexico,41,0
Moldova,23,0
Monaco,2,0
Mongolia,1,0
Morocco,28,1
Namibia,2,0
Nepal,1,0
Netherlands,1135,20
New Zealand,8,0
Nigeria,2,0
North Macedonia,14,0
Norway,1221,3
Oman,22,0
Pakistan,53,0
Panama,43,1
Paraguay,6,0
Peru,43,0
Philippines,140,11
Poland,119,3
Portugal,245,0
Qatar,401,0
Reunion,7,0
Romania,131,0
Russia,63,0
Rwanda,1,0
Saint Lucia,2,0
Saint Vincent and the Grenadines,1,0
San Marino,101,5
Saudi Arabia,103,0
Senegal,24,0
Serbia,48,0
Seychelles,2,0
Singapore,226,0
Slovakia,54,0
Slovenia,219,1
South Africa,51,0
Spain,7798,289
Sri Lanka,18,0
Sudan,1,1
Suriname,1,0
Sweden,1022,3
Switzerland,2200,14
Taiwan*,59,1
Thailand,114,1
Togo,1,0
Trinidad and Tobago,2,0
Tunisia,18,0
Turkey,6,0
US,3499,63
Ukraine,3,1
United Arab Emirates,98,0
United Kingdom,1144,21
Uruguay,4,0
Uzbekistan,1,0
Venezuela,10,0
Vietnam,56,0
occupied Palestinian territory,0,0
